Ranking,Company,Nation,HQ,Sector,Industry,Web
245,China Shipbuilding Industry,China,Beijing,Industrials,Shipping,www.csic.com.cn
246,Mitsui,Japan,Tokyo,Wholesalers,Trading,www.mitsui.com
247,Nationwide,U.S.,"Columbus, Ohio",Financials,Insurance: Property and Casualty (Mutual),www.nationwide.com
248,Wilmar International,Singapore,Singapore,"Food, Beverages & Tobacco",Food Production,www.wilmar-international.com
249,Morgan Stanley,U.S.,New York City,Financials,Banks: Commercial and Savings,www.morganstanley.com
250,Sumitomo,Japan,Tokyo,Wholesalers,Trading,www.sumitomocorp.co.jp
251,China Minsheng Banking,China,Beijing,Financials,Banks: Commercial and Savings,www.cmbc.com.cn
252,Greenland Holding Group,China,Shanghai,Financials,Real estate,www.ldjt.com.cn
253,Pertamina,Indonesia,Jakarta,Energy,Petroleum Refining,www.pertamina.com
254,E.ON,Germany,"Essen, Germany",Energy,Energy,www.eon.com
255,Liberty Mutual Insurance Group,U.S.,Boston,Financials,Insurance: Property and Casualty (Stock),www.libertymutual.com
256,Sinomach,China,Beijing,Industrials,Industrial Machinery,www.sinomach.com.cn
257,Swiss Re,Switzerland,Zurich,Financials,Insurance: Property and Casualty (Stock),www.swissre.com
258,New York Life Insurance,U.S.,New York City,Financials,"Insurance: Life, Health (Mutual)",www.newyorklife.com
259,Goldman Sachs Group,U.S.,New York City,Financials,Banks: Commercial and Savings,www.gs.com
260,American Airlines Group,U.S.,Fort Worth,Transportation,Airlines,www.aa.com
261,Best Buy,U.S.,"Richfield, Minn.",Retailing,Specialty Retailers,www.bestbuy.com
262,Repsol,Spain,Madrid,Energy,Petroleum Refining,www.repsol.com
263,Cigna,U.S.,"Bloomfield, Conn.",Health Care,Health Care: Insurance and Managed Care,www.cigna.com
264,Charter Communications,U.S.,"Stamford, Conn.",Telecommunications,Telecommunications,www.charter.com
265,SSE,Britain,"Perth, Britain",Energy,Utilities,www.sse.com
266,Delta Air Lines,U.S.,Atlanta,Transportation,Airlines,www.delta.com
267,Zhejiang Geely Holding Group,China,"Hangzhou, China",Motor Vehicles & Parts,Motor Vehicles & Parts,www.geely.com
268,ZF Friedrichshafen,Germany,"Friedrichshafen, Germany",Motor Vehicles & Parts,Motor Vehicles & Parts,www.zf.com
269,Metro,Germany,"D��_sseldorf, Germany",Food & Drug Stores,Food & Drug Stores,www.metroag.de
270,Wuchan Zhongda Group,China,"Hangzhou, China",Wholesalers,Trading,www.zjmi.com
271,Sanofi,France,Paris,Health Care,Pharmaceuticals,www.sanofi.com
